Model Predicted Winner,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Team A # of available ultimate,,,,,,0,0,0,0,1,1,3,1,1,0,1,3,0,0,0,0,1,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Team B # of available ultimate,,,,,,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Team A avg # of ultimate points until ability (restrictive),,,,,,7.8,6.6,5.4,3.8,2.5,4.5,6,6,4.25,4.8,3.5,4.5,7.8,5.8,5,3.6,2.25,2,4.333,4,5.5,4.8,3.4,3.333,3,3,3,3,3,3,3,3,3,3
Team B avg # of ultimate points until ability (restrictive),,,,,,7.8,6.6,5.6,4.2,3.5,3,2,6,5.2,3.8,3.4,3.4,7.8,5.6,4,3,3.33,2.5,5.667,7.4,5.4,5,4,2.4,3,3,3,3,3,3,3,3,3,3
Team A total equipment value ,,,,,,3800,2650,21000,22300,16600,9450,23900,19700,20500,24700,25000,25900,3950,2400,20250,19700,9550,19800,20700,17850,22100,22900,23650,25600,23350,24100,23950,23800,23800,24100,24250,24400,23450,24100
Team B total equipment value,,,,,,3950,16500,17850,24150,22850,23800,25400,25700,25200,19200,13500,23100,3950,16350,16950,23100,22900,22900,16500,20600,23400,15150,20500,16250,24000,23700,24000,23700,24000,23400,23700,23700,24300,23700
Actual Round Winner (A or B),,,,,,B,B,A,B,B,B,B,A,A,A,A,A,B,B,A,B,B,A,B,A,A,A,A,B,B,A,B,A,B,A,A,B,A,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicted Round Winner based on Economy (A or B),,,,,,B,B,A,B,B,B,B,B,B,A,A,A,,B,A,B,B,B,A,B,B,A,A,A,B,A,B,A,B,A,A,A,B,A
Model Predicted Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1 vs BLEED | MAP 2 | Lotus,,,,,,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,,,,,,,,,,,,,,,
"Saturday, February 17th 12:00 AM CST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patch 8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champions Tour 2024: Pacific Kickoff | Group Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team A,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Half Buys,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Full Buys,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ecos,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team A Acquired,,,129,N/A,,9,7,9,5,7,8,9,7,7,8,10,6,10,8,7,6,9,3,,,,,,,,,,,,,,,,
# of Ultimate Point Team B Acquired,,,N/A,127,,7,8,7,4,7,6,8,7,5,8,8,5,11,8,8,8,10,7,,,,,,,,,,,,,,,,
# of Ultimate Orb Team A Acquired,,,6,N/A,15.79%,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
# of Ultimate Orb Team B Acquired,,,N/A,7,18.42%,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,
Starting Team map win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Attack side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Defense side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Team map win%,,,100%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Attack side win%,,,75%,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Defense side win%,,,57%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Map Winner,,A,Y/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A # of available ultimate,,,,,,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,1,2,3,,,,,,,,,,,,,,,
Team B # of available ultimate,,,,,,0,0,0,0,0,3,2,0,1,0,0,2,0,0,0,0,2,2,2,,,,,,,,,,,,,,,
Team A avg # of ultimate points until ability (restrictive),,,,,,8,6.2,4.8,3.75,3.6,4,4,5,4,5.6,4,2.5,8,6,4.4,4,2.5,3,3,,,,,,,,,,,,,,,
Team B avg # of ultimate points until ability (restrictive),,,,,,8.2,6.8,5.2,3.4,3,4,6.333,5.2,4.75,4.6,3,5.333,8.2,6,4.4,2.8,2,4.667,5.333,,,,,,,,,,,,,,,
Team A total equipment value ,,,,,,3900,17200,19150,24500,25600,24900,26200,23900,26800,26950,27450,26950,3850,16750,19250,8600,21550,10900,24150,,,,,,,,,,,,,,,
Team B total equipment value,,,,,,4150,2250,21800,11800,23500,24100,19600,8300,19550,12100,21850,23100,4200,11200,16100,20000,24000,23100,18250,,,,,,,,,,,,,,,
Actual Round Winner (A or B),,,,,,A,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,B,A,A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicted Round Winner based on Economy (A or B),,,,,,B,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,,,,,,,,,,,,,,,
Model Predicted Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betting Predicted Game Winner,,A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlr.gg Elo Predicted Game Winner,,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Game Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Elo,,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Elo,,1512.5,1487.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Score,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Gen.G vs Rex Regum Qeon | MAP 1 | Icebox,"3,24,24,21",,,,,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,,,,,,,,,,
"Saturday, February 17th 7:45 AM CST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patch 8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champions Tour 2024: Pacific Kickoff | Group Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team A,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Half Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Full Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ecos,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Team map win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Attack side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Defense side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Team map win%,,,100%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Attack side win%,,,50%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Defense side win%,,,58%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Map Winner,,A,Y/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A total equipment value ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B total equipment value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicted Round Winner based on Economy (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen.G vs Rex Regum Qeon | MAP 2 | Split,,,,,,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,,,,,,,,,,
"Saturday, February 17th 7:45 AM CST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patch 8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champions Tour 2024: Pacific Kickoff | Group Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team A,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Half Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Full Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ecos,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Team map win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Attack side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Defense side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Team map win%,,,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Attack side win%,,,17%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Defense side win%,,,75%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Map Winner,,B,Y/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A total equipment value ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B total equipment value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicted Round Winner based on Economy (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen.G vs Rex Regum Qeon | MAP 3 | Sunset,,,,,,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,,,,,,,,,,,,,
"Saturday, February 17th 7:45 AM CST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patch 8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champions Tour 2024: Pacific Kickoff | Group Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team A,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Half Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Full Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ecos,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Team map win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Attack side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Defense side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Team map win%,,,100%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Attack side win%,,,56%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Defense side win%,,,67%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Map Winner,,A,Y/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A total equipment value ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B total equipment value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicted Round Winner based on Economy (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betting Predicted Game Winner,,A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlr.gg Elo Predicted Game Winner,,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Game Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Elo,,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Elo,,1512.5,1487.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Score,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. ZETA DIVISION vs Global Esports | MAP 1 | Bind,"2,23,20",,,,,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,,,,,,,,,,,
"Sunday, February 18th 12:00 AM CST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patch 8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champions Tour 2024: Pacific Kickoff | Group Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team A,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Half Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Full Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ecos,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Team map win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Attack side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Defense side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Team map win%,,,100%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Attack side win%,,,55%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Defense side win%,,,58%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Map Winner,,A,Y/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B avg # of ultimate points until ability (restrictive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A total equipment value ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team B total equipment value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predicted Round Winner based on Economy (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Round Winner (A or B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZETA DIVISION vs Global Esport | MAP 2 | Icebox,,,,,,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,,,,,,,,,,,,,
"Sunday, February 18th 12:00 AM CST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patch 8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champions Tour 2024: Pacific Kickoff | Group Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team A,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Half Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Full Buys,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ecos,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Point Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team A Acquired,,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Ultimate Orb Team B Acquired,,,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Team map win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Attack side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Given Map Defense side win%,,,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Team map win%,,,100%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Attack side win%,,,88%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Given Map Defense side win%,,,50%,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A or B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Map Winner,,A,Y/N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Predicted Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team A # of available ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
